Tipo;Producto;AlfaBeta;Troquel;CodBarraPrinc;Laboratorio;Precio;Neto;CadenaFrio;RequiereVale;Trazable
P;CAPILATIS EQUILIBRAN PROD ESP ACOND X 410ML;;P10001712;7792640004519;www.capilatis.com.ar;19,93;1;0;0;0
P;CAPILATIS EQUILIBRAN PROD ESP SH X 420 ML;;P10001713;7792640002744;www.capilatis.com.ar;20,26;1;0;0;0
P;CAPILATIS EVITA PIOJOS ACOND X 510 ML;;P10001674;7792640004618;www.capilatis.com.ar;21,20;1;0;0;0
P;CAPILATIS EVITA PIOJOS CITRUS LOC  X 100 GR;;P10001676;7792640004632;www.capilatis.com.ar;31,77;1;0;0;0
P;CAPILATIS EVITA PIOJOS LOC X 120 ML;;P10001675;7792640004625;www.capilatis.com.ar;22,13;1;0;0;0
P;CAPILATIS EVITA PIOJOS SH X 510 ML;;P10001677;7792640004601;www.capilatis.com.ar;21,46;1;0;0;0
P;CAPILATIS F-ECOL AVENA CR MANOS X 260 GR;;P10001682;7792640000436;www.capilatis.com.ar;14,06;1;0;0;0
P;CAPILATIS F-ECOL C-DAÑADOS ACOND X 410 ML;;P10001678;7792640002386;www.capilatis.com.ar;19,32;1;0;0;0
P;CAPILATIS F-ECOL C-DAÑADOS SH X 410 ML;;P10001685;7792640002379;www.capilatis.com.ar;19,58;1;0;0;0
P;CAPILATIS F-ECOL C-DAÑADOS TRAT X 200 GR;;P10001690;7792640002393;www.capilatis.com.ar;11,58;1;0;0;0
P;CAPILATIS F-ECOL C-GRASO SH X 410 ML;;P10001686;7792640002300;www.capilatis.com.ar;19,58;1;0;0;0
P;CAPILATIS F-ECOL C-SECOS ACOND X 410 ML;;P10001679;7792640002355;www.capilatis.com.ar;19,32;1;0;0;0
P;CAPILATIS F-ECOL C-SECOS SH X 410 ML;;P10001687;7792640002348;www.capilatis.com.ar;19,58;1;0;0;0
P;CAPILATIS F-ECOL C-SECOS TRAT X 200 GR;;P10001691;7792640002362;www.capilatis.com.ar;11,58;1;0;0;0
P;CAPILATIS F-ECOL C-TEÑIDOS ACOND X 410 ML;;P10001680;7792640002416;www.capilatis.com.ar;19,32;1;0;0;0
P;CAPILATIS F-ECOL C-TEÑIDOS SH X 410 ML;;P10001688;7792640002409;www.capilatis.com.ar;19,58;1;0;0;0
P;CAPILATIS F-ECOL C-TEÑIDOS TRAT X 200 GR;;P10001692;7792640002423;www.capilatis.com.ar;11,58;1;0;0;0
P;CAPILATIS F-ECOL CTROL CAIDA SH X 410 ML;;P10001684;7792640002430;www.capilatis.com.ar;19,58;1;0;0;0
P;CAPILATIS F-ECOL NUTRITIVO ACOND X 410 ML;;P10001681;7792640002324;www.capilatis.com.ar;19,32;1;0;0;0
P;CAPILATIS F-ECOL NUTRITIVO SH X 410 ML;;P10001689;7792640002317;www.capilatis.com.ar;19,58;1;0;0;0
P;CAPILATIS F-ECOL NUTRITIVO TRAT X 200 GR;;P10001693;7792640002331;www.capilatis.com.ar;11,58;1;0;0;0
P;CAPILATIS F-ECOL SAVIA VERDE S-ENJ X 410 ML;;P10001683;7792640002447;www.capilatis.com.ar;17,78;1;0;0;0
P;CAPILATIS F-EUROP CASPA OCTOP SH X 260 ML;;P10001695;7792640000443;www.capilatis.com.ar;25,46;1;0;0;0
P;CAPILATIS F-EUROP C-SECOS LECHE VIG X 260GR;;P10001694;7792640000573;www.capilatis.com.ar;14,06;1;0;0;0
P;CAPILATIS F-VERDE SAVIA BRILLANTE X 250 GR;;P10001699;7792640000382;www.capilatis.com.ar;11,58;1;0;0;0
P;CAPILATIS F-VERDE SAVIA BRILLANTE X 500 GR;;P10001700;7792640000368;www.capilatis.com.ar;14,06;1;0;0;0
P;CAPILATIS HOMBRE F-ENERG LOC X 120 GR;;P10001702;7792640001631;www.capilatis.com.ar;16,60;1;0;0;0
P;CAPILATIS HOMBRE FORMA GEL X 200 GR;;P10001701;7792640001648;www.capilatis.com.ar;16,52;1;0;0;0
P;CAPILATIS KERATINA ACON NUT.PROFUNDA X 350;;P30001156;7792640001815;www.capilatis.com.ar;23,06;1;0;0;0
P;CAPILATIS KERATINA AMP X 10 ML;;P30001158;7792640001846;www.capilatis.com.ar;11,74;1;0;0;0
P;CAPILATIS KERATINA MASC.CAPILAR X 170 ML;;P30001159;7792640001822;www.capilatis.com.ar;18,38;1;0;0;0
P;CAPILATIS KERATINA SH NUT.PROFUNDA X 350 ML;;P30001155;7792640001808;www.capilatis.com.ar;23,32;1;0;0;0
P;CAPILATIS KERATINA SPRAY NUTRITIVO X 100 ML;;P30001157;7792640001839;www.capilatis.com.ar;29,20;1;0;0;0
P;CAPILATIS MANZANILLA ACOND X 500 ML;;P10001703;7792640001075;www.capilatis.com.ar;19,32;1;0;0;0
P;CAPILATIS MANZANILLA SH X 500 ML;;P10001704;7792640009514;www.capilatis.com.ar;19,58;1;0;0;0
P;CAPILATIS MINERAL BR Y REPAR ACOND X 350 ML;;P10001705;7792640001716;www.capilatis.com.ar;23,08;1;0;0;0
P;CAPILATIS MINERAL BR Y REPAR SH X 350 ML;;P10001708;7792640001709;www.capilatis.com.ar;23,32;1;0;0;0
P;CAPILATIS MINERAL FORT NUTR ACOND X 350 ML;;P10001706;7792640001747;www.capilatis.com.ar;23,08;1;0;0;0
P;CAPILATIS MINERAL FORT NUTR SH X 350 ML;;P10001709;7792640001730;www.capilatis.com.ar;23,32;1;0;0;0
P;CAPILATIS MINERAL MASC CAP TERM X 170 GR;;P10001707;7792640001723;www.capilatis.com.ar;18,38;1;0;0;0
P;CAPILATIS NO FRIZZ ACOND X 420 ML;;P10001696;7792640007619;www.capilatis.com.ar;19,93;1;0;0;0
P;CAPILATIS NO FRIZZ OND-LAC TRAT S-E X 140GR;;P10001698;7792640007640;www.capilatis.com.ar;16,17;1;0;0;0
P;CAPILATIS NO FRIZZ SH X 420 ML;;P10001697;7792640007602;www.capilatis.com.ar;20,26;1;0;0;0
